
***** Observations ORDER 1 *****
87|86.87.86.87 -> 97 : 1.0
53|43.53.54.44 -> 54 : 1.0
53|43.53.54.55 -> 63 : 1.0


***** Observations ORDER 1 *****
22 -> 23 : 1
23 -> 13 : 1
13 -> 14 : 1
14 -> 4 : 1
4 -> 3 : 1
3 -> 2 : 1
2 -> 1 : 1
1 -> 0 : 1
0 -> 90 : 2
0 -> 9 : 1
90 -> 0 : 2
9 -> 99 : 2
99 -> 9 : 1
99 -> 89 : 3
89 -> 99 : 1
89 -> 79 : 2
79 -> 78 : 1
79 -> 70 : 3
78 -> 88 : 1
78 -> 68 : 1
88 -> 98 : 1
98 -> 99 : 1
70 -> 79 : 2
70 -> 80 : 1
70 -> 60 : 1
80 -> 70 : 1
60 -> 69 : 1
60 -> 61 : 1
60 -> 50 : 1
69 -> 60 : 1
69 -> 68 : 1
61 -> 71 : 1
61 -> 60 : 1
71 -> 61 : 1
50 -> 59 : 1
50 -> 40 : 1
59 -> 58 : 1
59 -> 69 : 1
59 -> 50 : 1
58 -> 59 : 2
68 -> 78 : 1
68 -> 58 : 1
40 -> 30 : 1
30 -> 31 : 1
31 -> 41 : 1
41 -> 51 : 1
51 -> 52 : 1
52 -> 42 : 1
42 -> 32 : 1
32 -> 33 : 2
33 -> 32 : 1
33 -> 43 : 1
43 -> 44 : 1
44 -> 34 : 1
44 -> 54 : 1
34 -> 24 : 2
34 -> 44 : 1
24 -> 25 : 1
24 -> 34 : 1
25 -> 35 : 1
25 -> 26 : 1
35 -> 36 : 2
35 -> 34 : 1
36 -> 46 : 2
36 -> 26 : 1
46 -> 56 : 2
56 -> 55 : 2
56 -> 66 : 1
55 -> 45 : 2
45 -> 35 : 2
26 -> 25 : 1
26 -> 27 : 1
26 -> 36 : 1
27 -> 17 : 1
17 -> 16 : 1
16 -> 26 : 1
66 -> 56 : 1
54 -> 64 : 1
64 -> 74 : 1
74 -> 84 : 1
84 -> 94
 : 1


***** Distributions ORDER 1 *****
22 -> 23 : 1.0
23 -> 13 : 1.0
13 -> 14 : 1.0
14 -> 4 : 1.0
4 -> 3 : 1.0
3 -> 2 : 1.0
2 -> 1 : 1.0
1 -> 0 : 1.0
0 -> 90 : 0.6666666666666666
0 -> 9 : 0.3333333333333333
90 -> 0 : 1.0
9 -> 99 : 1.0
99 -> 9 : 0.25
99 -> 89 : 0.75
89 -> 99 : 0.3333333333333333
89 -> 79 : 0.6666666666666666
79 -> 78 : 0.25
79 -> 70 : 0.75
78 -> 88 : 0.5
78 -> 68 : 0.5
88 -> 98 : 1.0
98 -> 99 : 1.0
70 -> 79 : 0.5
70 -> 80 : 0.25
70 -> 60 : 0.25
80 -> 70 : 1.0
60 -> 69 : 0.3333333333333333
60 -> 61 : 0.3333333333333333
60 -> 50 : 0.3333333333333333
69 -> 60 : 0.5
69 -> 68 : 0.5
61 -> 71 : 0.5
61 -> 60 : 0.5
71 -> 61 : 1.0
50 -> 59 : 0.5
50 -> 40 : 0.5
59 -> 58 : 0.3333333333333333
59 -> 69 : 0.3333333333333333
59 -> 50 : 0.3333333333333333
58 -> 59 : 1.0
68 -> 78 : 0.5
68 -> 58 : 0.5
40 -> 30 : 1.0
30 -> 31 : 1.0
31 -> 41 : 1.0
41 -> 51 : 1.0
51 -> 52 : 1.0
52 -> 42 : 1.0
42 -> 32 : 1.0
32 -> 33 : 1.0
33 -> 32 : 0.5
33 -> 43 : 0.5
43 -> 44 : 1.0
44 -> 34 : 0.5
44 -> 54 : 0.5
34 -> 24 : 0.6666666666666666
34 -> 44 : 0.3333333333333333
24 -> 25 : 0.5
24 -> 34 : 0.5
25 -> 35 : 0.5
25 -> 26 : 0.5
35 -> 36 : 0.6666666666666666
35 -> 34 : 0.3333333333333333
36 -> 46 : 0.6666666666666666
36 -> 26 : 0.3333333333333333
46 -> 56 : 1.0
56 -> 55 : 0.6666666666666666
56 -> 66 : 0.3333333333333333
55 -> 45 : 1.0
45 -> 35 : 1.0
26 -> 25 : 0.3333333333333333
26 -> 27 : 0.3333333333333333
26 -> 36 : 0.3333333333333333
27 -> 17 : 1.0
17 -> 16 : 1.0
16 -> 26 : 1.0
66 -> 56 : 1.0
54 -> 64 : 1.0
64 -> 74 : 1.0
74 -> 84 : 1.0
84 -> 94
 : 1.0


***** Observations ORDER 2 *****
0|1 -> 90 : 1
0|90 -> 90 : 1
0|90 -> 9 : 1
99|9 -> 9 : 1
99|9 -> 89 : 1
89|99 -> 99 : 1
89|99 -> 79 : 2
99|89 -> 89 : 1
79|89 -> 78 : 1
79|89 -> 70 : 1
78|79 -> 88 : 1
99|98 -> 89 : 1
70|79 -> 79 : 2
70|79 -> 80 : 1
79|70 -> 70 : 2
70|80 -> 60 : 1
60|70 -> 69 : 1
69|60 -> 60 : 1
60|69 -> 61 : 1
61|60 -> 71 : 1
61|71 -> 60 : 1
60|61 -> 50 : 1
50|60 -> 59 : 1
59|50 -> 58 : 1
59|58 -> 69 : 1
59|58 -> 50 : 1
69|59 -> 68 : 1
68|69 -> 78 : 1
78|68 -> 68 : 1
68|78 -> 58 : 1
50|59 -> 40 : 1
33|32 -> 32 : 1
33|32 -> 43 : 1
44|43 -> 34 : 1
34|44 -> 24 : 1
24|34 -> 25 : 1
24|34 -> 34 : 1
25|24 -> 35 : 1
35|25 -> 36 : 1
36|35 -> 46 : 1
36|35 -> 26 : 1
56|46 -> 55 : 1
56|46 -> 66 : 1
35|45 -> 36 : 1
35|45 -> 34 : 1
26|36 -> 25 : 1
25|26 -> 26 : 1
26|25 -> 27 : 1
26|16 -> 36 : 1
36|26 -> 46 : 1
56|66 -> 55 : 1
34|35 -> 24 : 1
34|24 -> 44 : 1
44|34 -> 54 : 1


***** Distributions ORDER 2 *****
0|1 -> 90 : 1.0
0|90 -> 90 : 0.5
0|90 -> 9 : 0.5
99|9 -> 9 : 0.5
99|9 -> 89 : 0.5
89|99 -> 99 : 0.3333333333333333
89|99 -> 79 : 0.6666666666666666
99|89 -> 89 : 1.0
79|89 -> 78 : 0.5
79|89 -> 70 : 0.5
78|79 -> 88 : 1.0
99|98 -> 89 : 1.0
70|79 -> 79 : 0.6666666666666666
70|79 -> 80 : 0.3333333333333333
79|70 -> 70 : 1.0
70|80 -> 60 : 1.0
60|70 -> 69 : 1.0
69|60 -> 60 : 1.0
60|69 -> 61 : 1.0
61|60 -> 71 : 1.0
61|71 -> 60 : 1.0
60|61 -> 50 : 1.0
50|60 -> 59 : 1.0
59|50 -> 58 : 1.0
59|58 -> 69 : 0.5
59|58 -> 50 : 0.5
69|59 -> 68 : 1.0
68|69 -> 78 : 1.0
78|68 -> 68 : 1.0
68|78 -> 58 : 1.0
50|59 -> 40 : 1.0
33|32 -> 32 : 0.5
33|32 -> 43 : 0.5
44|43 -> 34 : 1.0
34|44 -> 24 : 1.0
24|34 -> 25 : 0.5
24|34 -> 34 : 0.5
25|24 -> 35 : 1.0
35|25 -> 36 : 1.0
