***** Distribution. ORDER 1 *****
3,93 -> 94 : 0.13333
3,93 -> 92 : 0.2
83,93 -> 3 : 0.29412
83,93 -> 92 : 0.17647
83,93 -> 83 : 0.47059
83,93 -> 94 : 0.05882
93,83 -> 93 : 0.23529
93,83 -> 82 : 0.29412
93,83 -> 84 : 0.29412
93,83 -> 73 : 0.17647
82,83 -> 73 : 0.11111
82,83 -> 93 : 0.44444
82,83 -> 84 : 0.33333
82,83 -> 82 : 0.11111
73,83 -> 93 : 0.375
73,83 -> 73 : 0.125
73,83 -> 82 : 0.25
73,83 -> 84 : 0.25
93,92 -> 2 : 0.25
93,92 -> 91 : 0.16667
93,92 -> 93 : 0.16667
93,92 -> 82 : 0.41667
2,92 -> 82 : 0.3
2,92 -> 93 : 0.4
2,92 -> 91 : 0.3
92,2 -> 92 : 0.55556
92,2 -> 1 : 0.22222
92,2 -> 3 : 0.22222
3,2 -> 12 : 0.33333
3,2 -> 1 : 0.25
3,2 -> 3 : 0.33333
3,2 -> 92 : 0.08333
12,2 -> 12 : 0.25
12,2 -> 1 : 0.41667
12,2 -> 92 : 0.25
12,2 -> 3 : 0.08333
2,12 -> 2 : 0.27273
2,12 -> 11 : 0.36364
2,12 -> 13 : 0.18182
2,12 -> 22 : 0.18182
77,1 -> 46 : 1.0
2,1 -> 11 : 0.13333
2,1 -> 91 : 0.26667
2,1 -> 0 : 0.4
2,1 -> 2 : 0.2
1,46 -> 47 : 1.0
47,46 -> 45 : 0.46154
47,46 -> 47 : 0.30769
47,46 -> 56 : 0.07692
47,46 -> 36 : 0.15385
46,47 -> 48 : 0.2
46,47 -> 37 : 0.26667
46,47 -> 46 : 0.33333
46,47 -> 57 : 0.2
57,47 -> 46 : 0.18182
57,47 -> 48 : 0.36364
57,47 -> 37 : 0.36364
57,47 -> 57 : 0.09091
47,48 -> 58 : 0.3125
47,48 -> 49 : 0.25
47,48 -> 47 : 0.3125
47,48 -> 38 : 0.125
48,58 -> 48 : 0.28571
